address,voting_power
0xD131F1BcDd547e067Af447dD3C36C99d6be9FdEB,"7,835,959"
0x1E593f9FAbd9A166fC6Dd0Ad8255A266fDfb490e,"5,010,000"
0x096697D511730709E705d0c6390dD5e7B651Df3E,"3,610,038"
0x8F6f9ebd7670760C830655F86fB675CC07263d74,"3,060,824"
0x411CFf877c0Ef4b0c5c30e361d69362c0c740bBd,"2,640,039"
0x71b46Ff1335A371348582b8CF0ff71A8a5dc36fD,"2,212,592"
0xE1D04f6E9749A7a3d5404135B2fc79bC3Eda68e5,"1,988,459"
0x3f3E920B66B4fc61782E5B2aE78b5b55fbD0458a,"1,744,437"
0x5a7E5e7BAF3CDBbC2b329D89071047597C6e0312,"1,200,000"
0xc2ea63654C1Ed3c7cA859127598187AE370e218c,"1,129,384"
0x119a849400dd8b61c8AB8995cb37AF32dBBD2D8B,"1,009,994"
0x666B7E930022eFe70A2d14233f7343d7425070D7,"974,936"
0xA272ebcB9CFeF4fB507860aD8c72cca701a35Bca,"844,386"
0xa9504BE5aBbab242F1F185af8a9EB9bf3DC45b0c,"667,981"
0xc9E0A8B9d41919cF10dF064b9a9124f07bf1F31d,"645,050"
0x0f4dAA365a72c5b134D6E263f21B64De87f2392a,"637,414"
0x6a1f19AB6FCe49983003906171C12F305f8C6578,"500,124"
0x195832FeF3aAD07D882F1Ba71E2392F95D8B9CDe,"500,047"
0x7D1456B12f8b71573f3ea968D71F3F43dEEef2e1,"426,171"
0x287Fae2a93BB854C01a892b44fb770D1bE0ebF6D,"418,042"
0x9Ef4fA22acfb67e9B27E68e6DdE2Bb14a6939dCe,"374,344"
0x7A505dF95aAc78f142CA98CeCd771d3c398b4b71,"353,292"
0x09b93AbCA90eC10B8572d257Ed691c8F82Fc1A3c,"350,000"
0x9924A2191Db3Dac662dAa48eF9F31a9EEf1d5962,"329,644"
0xAcd54246EDa0c5638a247C4717a8782c21497eb6,"323,661"
0xB8569a63435b283C0BE0312b06084d09C91c0512,"300,001"
0x456996B8D9B203B1de23AeFaA9A6cfAc4D4f9F64,"250,883"
0xb4237C71875D05A2e526Ae53E6B672F8f3E1406B,"234,561"
0x868D2Bef6BF036576B0bA637501B4137f754941F,"212,701"
0x1d347c5253586FA0412B0abe3452a2c958f894e5,"209,529"
0xB8d86D6dB117e21C27636034D3Dd8859018daf9C,"206,336"
0x24a8D74f5d4946f38ED982B464897FCA4bdACd7B,"203,449"
0x7E9Ea289ac39C8033945adabE10BaF994BbeCB0D,"193,764"
0x1c85d6Ae1336D0e4E3F165bbfA9641bfA04CeDb1,"191,751"
0xCBF9FD96c81823BF23E3e2F51CaBa189f29104f3,"186,544"
0x96Bd900FAc1fEB36564930EEAa38feD529Ff699f,"182,247"
0xF059B59bdbeC91d83C558B4a3CD3c1c6E275F2F1,"170,644"
0x4e224e7e9E6084877856F147ce06A33ccB88eeff,"159,169"
0xF5bF3B7B7D03EfD34BA1E1BcF1694080975d8A1c,"132,491"
0x6ec76EDe91c060D69CDEB49b7FdaC4D2943d9501,"123,217"
0x3fE2e08a1F7766606574a91a5CfAf3342d023947,"106,129"
0x1dA29Ca4E330F0Faa816edB6B55B46f9eE453F7f,"105,970"
0x70bEfb77317A2AAC844152A90Ed48b85ffc2ffD8,"98,344"
0x062168300176aA3947d2FEebccEe188eF35aBeb5,"95,962"
0xe01B46E9C34236c9E3aE0C3EC7808BCAe273cC6C,"94,746"
0x8B02D1F8d89d13A8Ef6c9b9985716dD4bb0B4869,"90,369"
0xe6b5A31d8bb53D2C769864aC137fe25F4989f1fd,"82,456"
0xEFF362810e8a03eC0e87591a45ba5c38b710b4b5,"77,462"
0x4b4C225A844Ff17e994eEE69943Ad2F286673006,"71,775"
0x9df36948E1F7DD63B0fd8F52eCF4A286fc3dD3BF,"70,619"
0x8388FFaf705619c0EdcE094EaF3f669e296f77D8,"62,612"
0x9B72D6A035146C9b9050111349288b5a510A2828,"62,024"
0x3d9163fb6D9E1323a9Deea3948e4359A3c1B6434,"50,785"
0xD53341A8A2f1097723c9200e23F9C332CdB83929,"48,461"
0xfEED6D06e64532115dd3ac4912dd60669ca02FCa,"47,959"
0xA5936adc772918E8A5d1A50Ef99f3b3a77B8b24D,"42,773"
0x7f1fC5434a6b8390453B7a16D7df3031a520f491,"42,195"
0x3207446dD7fDefa5Dd9F66e89F0F49070afc5731,"41,587"
0x37b27b0b361bFBfA93D14C1da22bE991944f37Ce,"37,325"
0xa4A45767A697384f685a916e17b1E35e37314540,"35,551"
0xe077317C204bc995D556d9376F1adf048b512729,"35,087"
0x90218729a6d45e26EDb65B23E084C8F0D4153529,"34,116"
0x473a0b95AF573884410d8E2F2653C4cFD5Aa1022,"33,643"
0x244a35b37E5518B132FE370eB35C82842c869141,"32,350"
0x0f1B57CD17b09bfF2F9f2d4D29eed2a283a1D45F,"30,344"
0x322c4C7F246BFD3a1d19Cd1A13E1AaF704Cb5F27,"29,708"
0x9c0a12Dd013280E4D2503379AFD5CD8bB162Da21,"29,271"
0x0e2957E939A0A775542941BfeB8e986704e63DB6,"27,738"
0xACCF791DeD07AB38b66b6e8f241d0625F3F3f0CB,"27,178"
0x03DB453c0dB5C9bc3172673f1eAa958205DC2bEB,"23,500"
0x0081A851aC5005fa574c555C66783B38B7Cc8BF0,"22,679"
0xf4db9BD798156B4071f28910aEcC35dD9dE39E3C,"20,446"
0x4617387BfbcaBf2763c239c97EB218EEE2fF319d,"20,035"
0xC195aFc57d760d5BDEFDb28E087bBe6c181bBe08,"19,133"
0x73c5925F2693D9d17D31DF90CCFb613338BC18fB,"19,075"
0xb14CC1a8717e6Bb2cF30109f94D210a7e9f07DA5,"18,906"
0xA9e9E0414D52658515EB9dB6DcDc6055396A031a,"18,906"
0x90e3D7f20731d7ddcE2be144FF9b71c5A8af91f5,"18,906"
0x4b7292679D439CCd83B972A5fF848b47391AFfCA,"18,906"
0x4EAd9e4d4845b026c08f7289f0491F104188ed3E,"18,434"
0xD6980B8f28d0b6Fa89b7476841E341c57508a3F6,"18,412"
0x02c9e48b3463087a4c1153F59eAaac1b34B31fcD,"18,256"
0xD8fd7C2390BB16838092f23374C17599b2BD7d41,"18,205"
0xE711D6B006674a271866553a22AcD3570DbF46Ef,"18,020"
0x72dba93F53F65f38B2662b1cfdE5397dE228576A,"17,873"
0xb94bEf6F6802Eef2B3Eed0cc5036828de9269738,"17,763"
0xF8e016D50e75C32de1f6aeab8395c96C4c76F9c1,"16,533"
0xd2e44E40B5FB960A8A74dD7B9D6b7f14B805b50d,"15,656"
0x666CEaD54ffcfc71ce2Faa16C993DB92Ee9DB51E,"15,495"
0x3fa4C905b1Ee85A5881B62415bC9b20Ce3ab3f36,"15,412"
0xF7Fff4bbd506f4994738C5C8C86A409FcA929e5b,"14,542"
0xE15a515AF5af62e73BCe64eEbFE9DfAeae7DFFD4,"12,973"
0xA666Fb4f80047A39596b4634AC605050104A15b8,"12,832"
0xE16777Ad9aF3d86e4b2a9d12fAF6845Fa94eD7e8,"12,664"
0x8f180e2E76E834A582B469D063A755841372976B,"12,234"
0x80D953e3Cd38fDfCa544023161174E223191d074,"12,222"
0x0F6623BF85d2742b3bC9ACbEB208182BcA62eC4f,"12,120"
0xD0186B2E201eF9C9901E740e515BfBD32c49B3EA,"12,057"
0x12Aa861c69909e5c58099C5166973dEEf6A96BCB,"11,976"
0xf5472DDED051ab391358C427f87f8BFBC5C16CE7,"11,621"
0xB53F25AFf784956366F940456D58eE01c6c4Ad28,"11,533"
0x7a9f6e06EAfB6778D785CC42f75D55Fb8f691C2B,"11,278"
0xF86E848199379Ea61036F9EF350B39b9b8B22140,"11,187"
0x497fBB1828a89445d7Cc351C61c2a7f294e95588,"11,186"
0x9ae31f8d5550852D48163F8c551E7AF896FC146B,"11,149"
0x3ce84b4A5c2b85462A9929Ee61f55E2a0352a45e,"11,095"
0x4faB0CC11b5A3A88Da5704E10d7d569aCe0a5F76,"11,073"
0x7069DFE372CC77199956B1633Fe25b9f9AFC65ba,"10,615"
0xB762C86cd8e1c8a2E564037688B5685A531E18F2,"10,505"
0xC7318c1200005A5dD68871c788a093190fEbb6c0,"10,493"
0xE317740df4B1C9739A5c55bEA65A95C4cf6C5421,"10,268"
0xf25E5Ad488494bdE243513715971652826a75155,"9,848"
0xf6408De90Eca58afA6ef7A780288cB3327dE4174,"9,646"
0x56Eac0bAF81DCaB4b302C8008Ec95b466F0664AF,"9,513"
0xbbE6b6050Dc3457AF4fc0C422f1cD42993D2A767,"9,494"
0x55A69b1Cb1C76b357F405d062FC83f83424113D2,"9,476"
0x7FB15cE26aB114302F0FC003350534FbC8b65eC9,"9,453"
0x01feDe4Bb0f06cA47735BE98B7a083a60C087a7D,"9,375"
0x452e363b082d5398e1d52C4bBFCb9752E0228542,"9,291"
0x15E432bf607854A897C3Cc60ed4152174fcD23Cc,"9,088"
0xC9F9f8A865E8074Dcd5f9110b429325A46837470,"9,008"
0x95a042977A64d39994A570518c1192eC3Ef189E7,"8,939"
0x359aA8d269eD91e07D5C41480afB7B64e1916f5D,"8,804"
0xD1e25B6eea2FEb5eB388982F7742A6BEc3C71e07,"8,758"
0x18FF706bA77F2Fe899B06A66ADE72CDc07356Add,"8,577"
0xA5FbA01Fd757Eb0d570c07530E7cc72036700Ca8,"8,427"
0x3c8c228E2fD2F398b423e446778c45014AF0FACb,"8,426"
0x0461B56aD2469E07D3e48447cba252292d0534E9,"8,100"
0x5BFE937a0db35c2349395E2F0BC7E6B7276bED2e,"7,825"
0xEd7c4e6aF4efc66F167BA742B3fe211C88F76372,"7,753"
0x0F8D1Ae69cFA9A6329baFF278Ce11332e75B807C,"7,647"
0xB49227D73aA0425fa169e03A0fDaef53b78157A5,"7,039"
0x30bf8631D28843E4f7a905D5C5bfD49f87e0bB83,"6,993"
0x4D5A1505A185cE824D56Da7ebBE9920861037C78,"6,914"
0x6a84Ce15661C53021A420a2579d8CEEb2723221F,"6,768"
0x0D770336f098a0C4b922dF8969420467b8082160,"6,729"
0xcA7a6a53d5576102765a0281c723f863D881DC96,"6,721"
0x6Bb275953D6297261386A8eAC44db37e8f278eBF,"6,618"
0x69155E7cA2E688ccDc247f6c4DDF374b3ae77Bd6,"6,468"
0x7DA04356B9536F4a949Bfc17114e242e84AFCdF4,"6,170"
0x45C94C09973dA8dc6425BB66f56cBdb3a458a895,"6,097"
0x877bfd84480d236Ff4209050eEE02CFbcc0BCC27,"6,007"
0x25700B5DD64accC137c9B5563A9e28C5fCEd4E18,"5,836"
0x303fb49bB56436bFf9e2cfb9a1E26f8dcECd9039,"5,794"
0x8322329f02c8eBf0594d1890Ee2F77793399403F,"5,705"
0x94109b35Fee4c92489Beb6d14a973873FA39f3ec,"5,259"
0xf05D7Df85B53049d16484D4A3201990470C1184a,"5,245"
0x4f40577bE405966eE6570665Fd2cF4E9724892C2,"5,124"
0x18348cC450BbcbE7abb774df4013980a127Af364,"4,951"
0xa3C3496af729cD9AE8Aa09fF2613f7b76b1d4DEB,"4,868"
0x6E2c266a5fd854373ede37CDcb1bF3Eb06900B07,"4,758"
0x7DA0e97CB78832463914392B5d414C1bEFA1fB01,"4,702"
0x88B8dD3E10788B48314567F512CD3180716F8D5D,"4,625"
0x4dfBd563F7055b8Ec1666A41e07a36f0f9f98B22,"4,619"
0x4d332a238A47eAc62eEee134ED153ef5397578ae,"4,619"
0x597BEa912e8734E17DDc4f43A489a1472d9459cF,"4,574"
0xE0263D9BFcadd06C0ba09bB27A7F04C8306724aB,"4,538"
0x38593d7011bFBdEEc192ae9C779bEfEbB424C834,"4,511"
0x29B10B9081b2E4Aed5411a7154bB8559C89E8785,"4,260"
0x034494486dD2eAd4099bF4f18cA959fe1f01b1Be,"4,121"
0xf3a019D2f83D311bcDA86E380fBB36041ecfff64,"4,111"
0x13CA53Db076D88994F01774846759c6f45b6Fdc3,"4,055"
0xC529f8B3Ba2B9ffC16c00f108780E91E752D8567,"4,000"
0x4581b0c0D0d6Db8Bf970E93d6bAa004F0254d6Fb,"4,000"
0xD0886275a97757676f051B29D3b636bADcB1Acb5,"4,000"
0x266819E6C2Bc359EEF9f2F850E3701F56a16E8f7,"4,000"
